metric,method,value,unit,data,variables,location,forest,details,year,title
rmse,svr,27.2,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
mae,svr,9.53,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
r^2,svr,0.8,,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
r^2,svr,0.63,mg/ha,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
rmse,svr,10.88,mg/ha,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
mae,svr,8.19,,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
r^2,svr,0.69,,"landsat,alos","bands,climate,topo,vi","south region, Türkiye","Calabrian pine, forests",Calabrian pine,2023,"Machine learning prediction of above-ground biomass in pure Calabrian pine (Pinus brutia Ten.) stands of the Mediterranean region, Türkiye"
r,svr,0.83,,"landsat,alos","bands,climate,topo,vi","south region, Türkiye","Calabrian pine, forests",Calabrian pine,2023,"Machine learning prediction of above-ground biomass in pure Calabrian pine (Pinus brutia Ten.) stands of the Mediterranean region, Türkiye"
rmse,svr,23.141,t/ha,"landsat,alos","bands,climate,topo,vi","south region, Türkiye","Calabrian pine, forests",Calabrian pine - ton/ha,2023,"Machine learning prediction of above-ground biomass in pure Calabrian pine (Pinus brutia Ten.) stands of the Mediterranean region, Türkiye"
relative rmse,svr,25.01,,"landsat,alos","bands,climate,topo,vi","south region, Türkiye","Calabrian pine, forests",Calabrian pine,2023,"Machine learning prediction of above-ground biomass in pure Calabrian pine (Pinus brutia Ten.) stands of the Mediterranean region, Türkiye"
r^2,svr,0.61,,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",pine forests,yunnan pines,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
rmse,svr,20.83,mg/ha,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",pine forests,yunnan pines - mg/ha,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
r^2,svr,0.64,,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",coniferous forests,natural mixed coniferous forests,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
rmse,svr,16.91,mg/ha,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",coniferous forests,natural mixed coniferous forests - mg/ha,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
r^2,svr,0.49,,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",natural forests,natural forests,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
rmse,svr,22.39,mg/ha,"landsat,gf1,gf3","polar,texture,vi","City Kunming, Southwest China",natural forests,natural forests - mg/ha,2022,Forest Above-Ground Biomass Inversion Using Optical and SAR Images Based on a Multi-Step Feature Optimized Inversion Model
r^2,svr,0.62,,"S2,smrt","bands,vi,texture,topo","Hunan Province, China",natural forests,diverse forest,2022,Remote Sensing Estimation of Forest Aboveground Biomass Based on Lasso-SVR
rmse,svr,24.61,t/ha,"S2,smrt","bands,vi,texture,topo","Hunan Province, China",natural forests,diverse forest - t/ha,2022,Remote Sensing Estimation of Forest Aboveground Biomass Based on Lasso-SVR
mae,svr,34.76,t/ha,"S2,smrt","bands,vi,texture,topo","Hunan Province, China",natural forests,diverse forest - t/ha,2022,Remote Sensing Estimation of Forest Aboveground Biomass Based on Lasso-SVR
r^2,svr,0.73,,landsat,"bands,texture,vi","Jodhpur Fig, India",urban forests,urban forest,2022,"Quantification of carbon sequestration by urban forest using Landsat 8 OLI and machine learning algorithms in Jodhpur, India"
rmse,svr,89.21,t/ha,landsat,"bands,texture,vi","Jodhpur Fig, India",urban forests,urban forest - t/ha,2022,"Quantification of carbon sequestration by urban forest using Landsat 8 OLI and machine learning algorithms in Jodhpur, India"
mae,svr,74.22,t/ha,landsat,"bands,texture,vi","Jodhpur Fig, India",urban forests,urban forest - t/ha,2022,"Quantification of carbon sequestration by urban forest using Landsat 8 OLI and machine learning algorithms in Jodhpur, India"
r^2,svr,0.29,,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
rmse,svr,38.52,mg/ha,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests - mg/ha,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
rmse,svr,32.84,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season - mg/ha,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
bias,svr,0.14,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
r,svr,0.84,,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
rmse,svr,53.18,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,dry season - mg/ha,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
bias,svr,0.21,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,dry season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
r,svr,0.48,,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,dry season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
r^2,svr,0.784,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 20"
rmse,svr,26.1543,mg/ha,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests - mg/ha,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 21"
nrmse,svr,0.2238,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 22"
me,svr,-4.5969,mg/ha,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests - mg/ha,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 23"
relative me,svr,-3.9566,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 24"
relative mare,svr,35.5108,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 25"
r^2,svr,0.47,mg/ha,"S2,icesat","bands,canopy,vi","Hebei province, northern China",plantation forest,plantation,2022,Integrating spaceborne LiDAR and Sentinel-2 images to estimate forest aboveground biomass in Northern China
rmse,svr,59.59,,"S2,icesat","bands,canopy,vi","Hebei province, northern China",plantation forest,plantation - mg/ha,2022,Integrating spaceborne LiDAR and Sentinel-2 images to estimate forest aboveground biomass in Northern China
r^2,svr,0.5788,mg/ha,"worldview,gaofen,lidar","bands,vi,texture,canopy",Hengqin islands.,urban forests,urban forest,2021,Assessing of Urban Vegetation Biomass in Combination with LiDAR and High-resolution Remote Sensing Images
rmse,svr,31.52,,"worldview,gaofen,lidar","bands,vi,texture,canopy",Hengqin islands.,urban forests,urban forest - mg/ha,2021,Assessing of Urban Vegetation Biomass in Combination with LiDAR and High-resolution Remote Sensing Images
relative rmse,svr,0.5161,,"worldview,gaofen,lidar","bands,vi,texture,canopy",Hengqin islands.,urban forests,urban forest,2021,Assessing of Urban Vegetation Biomass in Combination with LiDAR and High-resolution Remote Sensing Images
rmse,svr,51.3,mg/ha,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,mg/ha,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
relative rmse,svr,17.307,,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
r^2,svr,0.368,,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
aic,svr,80.7,,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
cvc,svr,80.21,,gf3,"bands,polar","Yunnan, China",subtropical forests,subtropical forest,2021,GA-SVR Algorithm for Improving Forest Above  Ground Biomass Estimation Using SAR Data
rmse,svr,12.01,mg/ha,gf3,"bands,polar","Yunnan, China",subtropical forests,subtropical forest - mg/ha,2021,GA-SVR Algorithm for Improving Forest Above  Ground Biomass Estimation Using SAR Data
r^2,svr,0.79,,gf3,"bands,polar","Yunnan, China",subtropical forests,subtropical forest,2021,GA-SVR Algorithm for Improving Forest Above  Ground Biomass Estimation Using SAR Data
cvc,svr,71.41,,alos,"bands,polar","Yunnan, China",subtropical forests,subtropical forest,2021,GA-SVR Algorithm for Improving Forest Above  Ground Biomass Estimation Using SAR Data
rmse,svr,17.35,,alos,"bands,polar","Yunnan, China",subtropical forests,subtropical forest - mg/ha,2021,GA-SVR Algorithm for Improving Forest Above  Ground Biomass Estimation Using SAR Data
r^2,svr,0.55,mg/ha,alos,"bands,polar","Yunnan, China",subtropical forests,subtropical forest,2021,GA-SVR Algorithm for Improving Forest Above  Ground Biomass Estimation Using SAR Data
r^2,svr,0.32,,"alos,lidar","backscatter,bands,polar,texture,vi","Shast Kalateh forest, Iran",temperate deciduous forests,temperate deciduous forests,2020,"Integrating airborne laser scanning data, space-borne radar data and digital aerial imagery to estimate aboveground carbon stock in Hyrcanian forests, Iran"
rmse,svr,25.34,,"alos,lidar","backscatter,bands,polar,texture,vi","Shast Kalateh forest, Iran",temperate deciduous forests,temperate deciduous forests - mg/ha,2020,"Integrating airborne laser scanning data, space-borne radar data and digital aerial imagery to estimate aboveground carbon stock in Hyrcanian forests, Iran"
relative rmse,svr,48.17,,"alos,lidar","backscatter,bands,polar,texture,vi","Shast Kalateh forest, Iran",temperate deciduous forests,temperate deciduous forests,2020,"Integrating airborne laser scanning data, space-borne radar data and digital aerial imagery to estimate aboveground carbon stock in Hyrcanian forests, Iran"
r^2,svr,0.421,,"S2,alos,smrt","backscatter,bands,topo,vi","Southern coast, Vietnam",mangrove forests,mangroves,2020,"Estimating Mangrove Above-Ground Biomass Using Extreme Gradient Boosting Decision Trees Algorithm with Fused Sentinel-2 and ALOS-2 PALSAR-2 Data in Can Gio Biosphere Reserve, Vietnam"
rmse,svr,48.49,mg/ha,"S2,alos,smrt","backscatter,bands,topo,vi","Southern coast, Vietnam",mangrove forests,mangroves - mg/ha,2020,"Estimating Mangrove Above-Ground Biomass Using Extreme Gradient Boosting Decision Trees Algorithm with Fused Sentinel-2 and ALOS-2 PALSAR-2 Data in Can Gio Biosphere Reserve, Vietnam"
r^2,svr,0.8,,landsat,"bands,climate,texture,topo,vi","Sierra Madre, Mexico",coniferous trees,coniferous trees,2020,Modeling of Aboveground Biomass with Landsat 8 OLI and Machine Learning in Temperate Forests
rmse,svr,8.2,mg/ha,landsat,"bands,climate,texture,topo,vi","Sierra Madre, Mexico",coniferous trees,coniferous trees - mg/ha,2020,Modeling of Aboveground Biomass with Landsat 8 OLI and Machine Learning in Temperate Forests
rmse,svr,0.211,kg/m2,worldview,"bands,vi,texture","Zhejiang province, China",bamboo and broadlead forest ,bamboo and broadlead forest - kg/m2,2020,Application of Convolutional Neural Network on Lei Bamboo Above-Ground-Biomass (AGB) Estimation Using Worldview-2.
relative rmse,svr,0.178,,worldview,"bands,vi,texture","Zhejiang province, China",bamboo and broadlead forest ,bamboo and broadlead forest ,2020,Application of Convolutional Neural Network on Lei Bamboo Above-Ground-Biomass (AGB) Estimation Using Worldview-2.
r^2,svr,0.968,,worldview,"bands,vi,texture","Zhejiang province, China",bamboo and broadlead forest ,bamboo and broadlead forest ,2020,Application of Convolutional Neural Network on Lei Bamboo Above-Ground-Biomass (AGB) Estimation Using Worldview-2.
r^2,svr,0.882,,"landsat,lidar","bands,canopy,vi","Guangdong province, China",subtropical forests,subtropical forests,2019,Deep Learning Based Retrieval of Forest Aboveground Biomass from Combined LiDAR and Landsat 8 Data
rmse,svr,18.908,,"landsat,lidar","bands,canopy,vi","Guangdong province, China",subtropical forests,subtropical forests - mg/ha,2019,Deep Learning Based Retrieval of Forest Aboveground Biomass from Combined LiDAR and Landsat 8 Data
relative rmse,svr,13.764,,"landsat,lidar","bands,canopy,vi","Guangdong province, China",subtropical forests,subtropical forests,2019,Deep Learning Based Retrieval of Forest Aboveground Biomass from Combined LiDAR and Landsat 8 Data
